X,Y,cod_punto,prop_poste,iden_punto,cluster,cod_prov,cod_cant,cod_parr,provincia,canton,parroquia,direccion,longitud,latitud,operadora,estado,tipo_servi,tipo_punto,desc_punto,situacion,OLT,ZONA,ELEMENTO_P,Tipo_de_He,icon_url
-80.7367477132232,-0.955361709695359,"332",cnel,M01-01_T3D1N08,M1C004,"13","1308","130850",manabi,manta,manta,calle 12 entre av. circunvalacion y av. 25,529289.447299999999814,9894402.606000000610948,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.73644850824,-0.955264990219779,"333",cnel,M01-01_T3D1N16,M1C004,"13","1308","130850",manabi,manta,manta,calle 12 entre av. circunvalacion y av. 25,529322.737899999949150,9894413.293999999761581,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7367477132232,-0.955361709695359,"227",cnel,M01-01_T3D1,M1C004,"13","1308","130850",manabi,manta,manta,calle 12 entre av. circunvalacion y av. 25,529289.447299999999814,9894402.606000000610948,conecel,aereo,sai,elemento_pasivo,caja_de_distribucion,n,"1",las acacias,manga distribucion,"0",./1.png
-80.7370096714859,-0.955446791590263,"334",cnel,M01-01_T3D1N07,M1C004,"13","1308","130850",manabi,manta,manta,calle 12 entre av. circunvalacion y av. 25,529260.300900000031106,9894393.203999999910593,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7378375254147,-0.955616779652731,"335",cnel,M01-01_T3D1N06,M1C004,"13","1308","130850",manabi,manta,manta,calle 12 entre av. circunvalacion y av. 25,529168.191800000029616,9894374.422000000253320,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7397315498554,-0.955068972233992,"336",cnel,M01-01_T3D1N02,M1C004,"13","1308","130850",manabi,manta,manta,calle 12 entre av. circunvalacion y av. 25,528957.465800000005402,9894434.987999999895692,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7396983840523,-0.955290273130815,"337",cnel,M01-01_T3D1N03,M1C004,"13","1308","130850",manabi,manta,manta,calle 12 entre av. circunvalacion y av. 25,528961.153999999980442,9894410.527000000700355,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7393706980971,-0.955372279041346,"338",cnel,M01-01_T3D1N04,M1C004,"13","1308","130850",manabi,manta,manta,calle 12 entre av. circunvalacion y av. 25,528997.611900000018068,9894401.460000000894070,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.739062841914,-0.955480939465617,"339",cnel,M01-01_T3D1N05,M1C004,"13","1308","130850",manabi,manta,manta,calle 12 entre av. circunvalacion y av. 25,529031.863299999968149,9894389.447000000625849,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7403841040933,-0.955227058309419,"340",cnel,M01-01_T3D1N01,M1C004,"13","1308","130850",manabi,manta,manta,calle 12 entre av. circunvalacion y av. 25,528884.860800000024028,9894417.520000001415610,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
